,Username,Link,Text,Human,Chat GPT,Date
,eccung3,https://www.tiktok.com/@eccung3,"aku dari dulu pakai Morris, parfum merk lain, tidak, Morris, iya.",Positif,Positif,23/12/2023
,sandi3491,https://www.tiktok.com/@sandi3491,Harum nya kurang mantap dan tidak tahan lama,Negatif,Negatif,23/12/2023
,ardieyk,https://www.tiktok.com/@ardieyk,"wangi nya biasa saja, pengiriman lama sekali",Negatif,Negatif,23/12/2023
,bontekshow,https://www.tiktok.com/@bontekshow,Mahal,Negatif,Negatif,23/12/2023
,wendi.kurnia1,https://www.tiktok.com/@wendi.kurnia1,wangi banget,Positif,Positif,23/12/2023
,ibrohimnasir123,https://www.tiktok.com/@ibrohimnasir123,Wow bagus sekali,Positif,Positif,22/12/2023
,cowokpolos22,https://www.tiktok.com/@cowokpolos22,dari dulu sampai sekarang parfum aku selalu Morris,Netral,Netral,22/12/2023
,uwais.athaula132,https://www.tiktok.com/@uwais.athaula132,bagus Morris,Positif,Positif,22/12/2023
,nafiafia728,https://www.tiktok.com/@nafiafia728,"wangi nya mantap, aku suka banget",Positif,Positif,22/12/2023
,tia.andarista_20,https://www.tiktok.com/@tia.andarista_20,idola parfum,Positif,Positif,22/12/2023
,riotiktok2,https://www.tiktok.com/@riotiktok2,BOHONG!!! ,Negatif,Negatif,22/12/2023
,amanda.laundry,https://www.tiktok.com/@amanda.laundry,beneran awet,Positif,Positif,21/12/2023
,mayamayoll8,https://www.tiktok.com/@mayamayoll8,"harum, kak",Positif,Positif,21/12/2023
,wilve99,https://www.tiktok.com/@wilve99,"udah wangi, manis lagi parfum nya",Positif,Positif,21/12/2023
,teis.rons,https://www.tiktok.com/@teis.rons,kurang tahan lama wangi ya untuk harga segitu ,Negatif,Negatif,21/12/2023
,todesmont,https://www.tiktok.com/@todesmont,"saya sudah pernah coba, wangi nya kurang",Negatif,Negatif,21/12/2023
,hawamtmnh11,https://www.tiktok.com/@hawamtmnh11,"parfum kesukaan cowo aku banget, tidak boleh ganti parfum selain parfum Morris tropical edition yang paradise, sampai di belikan lagi setiap habis",Positif,Positif,20/12/2023
,nurul_10_reyhany,https://www.tiktok.com/@nurul_10_reyhany,"Aku pengguna Morris suka semua selama tipe saya, marine natural romatic dan yang baru yang ada macaroon, daun, dan bunga-bunga, suka",Positif,Positif,20/12/2023
,sipitsepet,https://www.tiktok.com/@sipitsepet,terbaik Morris,Positif,Positif,20/12/2023
,jenyallmendo28,https://www.tiktok.com/@jenyallmendo28,"wangi yang lifestyle edition, enak",Positif,Positif,20/12/2023
,sairin.sairin87,https://www.tiktok.com/@sairin.sairin87,keren botol Morris yang black edition,Positif,Positif,20/12/2023
,arjunarjunganteng3,https://www.tiktok.com/@arjunarjunganteng3,Parfum nya tidak wangi,Negatif,Negatif,20/12/2023
,agtrizia_astiraissa,https://www.tiktok.com/@agtrizia_astiraissa,Tidak sesuai ekspektasi saya,Negatif,Negatif,20/12/2023
,aldisaputra2565555,https://www.tiktok.com/@aldisaputra2565555,"Beli dua, yang datang cuma satu",Negatif,Negatif,20/12/2023
,dionsihombing9181,https://www.tiktok.com/@dionsihombing9181,"Pesan aquatic, yang datang malah amber",Negatif,Negatif,20/12/2023
,ahsantiara10,https://www.tiktok.com/@ahsantiara10,pasti wangi banget ya,Positif,Positif,20/12/2023
,jossmanao,https://www.tiktok.com/@jossmanao,bagus botol nya,Positif,Positif,20/12/2023
,maman.turahman3,https://www.tiktok.com/@maman.turahman3,mantap Morris,Positif,Positif,19/12/2023
,refashion22,https://www.tiktok.com/@refashion22,"paket rusak, botol nya sampai pecah terbelah dua",Negatif,Negatif,19/12/2023
,lastmiatigalang,https://www.tiktok.com/@lastmiatigalang,"Kecewa, pesan twin parfum malah satu nya fash wase",Negatif,Negatif,19/12/2023
,fazrin0290,https://www.tiktok.com/@fazrin0290,mantap banget wangi nya,Positif,Positif,19/12/2023
,nonhachr,https://www.tiktok.com/@nonhachr,"pesan nya dua parfum, kok yang datang cuma satu",Negatif,Negatif,17/12/2023
,bulannn421,https://www.tiktok.com/@bulannn421,"ih sumpah wangi banget, sampai mama aku juga suka",Positif,Positif,15/12/2023
,yustinus8608069097789,https://www.tiktok.com/@yustinus8608069097789,"mantap wangi Morris, dari dulu tidak pernah berubah",Positif,Positif,15/12/2023
,althaf.2011,https://www.tiktok.com/@althaf.2011,parfum nya wangi,Positif,Positif,15/12/2023
,humairah_maira7,https://www.tiktok.com/@humairah_maira7,"aku beli di Indomaret, enak wangi nya sama persis yang di pegang kakak",Positif,Positif,14/12/2023
,emmankoi,https://www.tiktok.com/@emmankoi,"aku pakai Morris udah lama, kak",Netral,Netral,14/12/2023
,hijrah.hijrah03,https://www.tiktok.com/@hijrah.hijrah03,semua botol parfum nya lucu,Positif,Positif,14/12/2023
,firaa3916,https://www.tiktok.com/@firaa3916,"botol nya Morris, tapi isi nya lain",Negatif,Negatif,14/12/2023
,nofhendri,https://www.tiktok.com/@nofhendri,Kecewa sama Morris,Negatif,Negatif,14/12/2023
,ripuh_bestiee,https://www.tiktok.com/@ripuh_bestiee,Aku kalau pakai parfum Morris di belakang telinga suka panas seperti pakai balsem,Negatif,Negatif,13/12/2023
,lovers_lovelyyy,https://www.tiktok.com/@lovers_lovelyyy,"iya, aku juga awet selama 7 jam",Netral,Netral,13/12/2023
,kmuu03,https://www.tiktok.com/@kmuu03,manis wangi nya,Positif,Positif,13/12/2023
,aryanto57211,https://www.tiktok.com/@aryanto57211,Pengemasan tidak aman karena botol nya pecah satu di jalan,Negatif,Negatif,12/12/2023
,_suryaaaaaaaaaaa,https://www.tiktok.com/@_suryaaaaaaaaaaa,"bohong, mana ada perempuan langsung cinta hanya karena wangi",Negatif,Negatif,12/12/2023
,chanra9960196307027,https://www.tiktok.com/@chanra9960196307027,Mantap kak wangi nya,Positif,Positif,11/12/2023
,cacaeins,https://www.tiktok.com/@cacaeins,Morris tutup nya sering longgar,Negatif,Negatif,10/12/2023
,nenenghasanah3349,https://www.tiktok.com/@nenenghasanah3349,"wangi nya tahan lama tidak, kak? ",Netral,Netral,07/12/2023
,mengmameng2,https://www.tiktok.com/@mengmameng2,aku selalu pakai parfum Morris,Netral,Netral,06/12/2023
,pikangsuangneww,https://www.tiktok.com/@pikangsuangneww,apa kah cuma aku yang suka Morris? ,Netral,Netral,04/12/2023
,agusriadi9473,https://www.tiktok.com/@agusriadi9473,gimana cara pesan nya? ,Netral,Netral,04/12/2023
,tetymulyati3,https://www.tiktok.com/@tetymulyati3,"wangi banget, kak",Positif,Positif,04/12/2023
,adimjember4,https://www.tiktok.com/@adimjember4,"mantap, aku suka wangi dan botol nya, kak",Positif,Positif,03/12/2023
,hour.kungi.yohan,https://www.tiktok.com/@hour.kungi.yohan,"aku mencintai mu, Morris",Positif,Positif,03/12/2023
,rezagaming082,https://www.tiktok.com/@rezagaming082,"Nunggu lama-lama, tapi pas datang bau nya tidak jelas",Negatif,Negatif,03/12/2023
,incess.ii,https://www.tiktok.com/@incess.ii,aku suka wangi nya,Positif,Positif,02/12/2023
,iyanbotakherang,https://www.tiktok.com/@iyanbotakherang,"mantap-mantap wangi nya, kak",Positif,Positif,02/12/2023
,beimingye2,https://www.tiktok.com/@beimingye2,Sangat direkomendasikan Morris yang romance,Positif,Positif,01/12/2023
,mitaasintia14,https://www.tiktok.com/@mitaasintia14,"saking wangi nya parfum morris, pacar aku kasih kejutan belikan aku parfum Morris, kata nya suka wangi nya ciri khas aku ",Positif,Netral,01/12/2023
,pinkydipsy17,https://www.tiktok.com/@pinkydipsy17,Morris emang rekomen banget sih jujur,Positif,Positif,01/12/2023
,jenniebbruby,https://www.tiktok.com/@jenniebbruby,itu parfum ya bukan body mist?,Netral,Netral,01/12/2023
,dennu205,https://www.tiktok.com/@dennu205,"memang Morris bikin candu aroma nya, aku yang biasa cium sedikit saja aroma parfum langsung sakit kepala, sementara suami pakai Morris, tidak bikin sakit kepala",Positif,Positif,01/12/2023
,kepoooomeong,https://www.tiktok.com/@kepoooomeong,aneh nih host pakai di siku padahal pergelangan tangan,Negatif,Negatif,01/12/2023
,rinisederhana,https://www.tiktok.com/@rinisederhana,Aku juga sudah pakai parfum nya ka emang enak banget sampe sodara aku suka,Positif,Positif,01/12/2023
,wawansetiyawan900,https://www.tiktok.com/@wawansetiyawan900,aku juga mau kak,Netral,Netral,01/12/2023
,anieesulung,https://www.tiktok.com/@anieesulung,"varian yang floral wangi nya segar sekali, aku suka banget",Positif,Positif,01/12/2023
,cancerjuli22,https://www.tiktok.com/@cancerjuli22,rekomendasi yang rasa apa ya yang wangi nya bikin nyaman?,Netral,Netral,30/11/2023
,ssnti4546,https://www.tiktok.com/@ssnti4546,"kak, aku selalu pakai parfum Morris, tapi varian yang aku suka sudah langka banget di mana-mana abis",Netral,Netral,30/11/2023
,enii809,https://www.tiktok.com/@enii809,beli nya di mana? ,Netral,Netral,30/11/2023
,gsjwjdvda128,https://www.tiktok.com/@gsjwjdvda128,pakai di siku memang bikin lebih tahan wangi nya,Positif,Positif,30/11/2023
,ratiyah10,https://www.tiktok.com/@ratiyah10,"Tim Morris dari 2020, tidak pernah ganti-ganti yang lain",Netral,Netral,30/11/2023
,ayuu120699,https://www.tiktok.com/@ayuu120699,"saking wangi nya parfum Morris, pacar aku sampai nempel terus ke aku",Positif,Positif,30/11/2023
,arrasyid30,https://www.tiktok.com/@arrasyid30,"bukan siku, itu pergelangan tangan ",Netral,Netral,30/11/2023
,ndaktaukonanyasaya27,https://www.tiktok.com/@ndaktaukonanyasaya27,"minta rekomendasi yang bau nya tidak mencolok dan tidak bikin mual, kak",Netral,Netral,30/11/2023
,teis.rons,https://www.tiktok.com/@teis.rons,parfum nya cantik botol dan wangi nya,Positif,Positif,30/11/2023
,zlllxz,https://www.tiktok.com/@zlllxz,"aku pakai parfum itu, tapi tidak ada yang salah tingkah",Netral,Netral,30/11/2023
,sitihawaawha,https://www.tiktok.com/@sitihawaawha,suka banget sama Morris,Positif,Positif,29/11/2023
,your_v3_,https://www.tiktok.com/@your_v3_,yang paling rekomend aroma apa ya pengen beli?,Positif,Netral,29/11/2023
,hidayah1201,https://www.tiktok.com/@hidayah1201,Dodo ternyata oh ternyata variannya sama Wee,Positif,Netral,29/11/2023
,nita_ns87,https://www.tiktok.com/@nita_ns87,"aku juga pakai Morris yang feel free, fantasy edition. Wangi nya segar lembut gitu",Positif,Positif,29/11/2023
,mood_sop,https://www.tiktok.com/@mood_sop,"yang ini harum banget, kemarin minta belikan sama ibu ",Positif,Positif,29/11/2023
,lhyannapark,https://www.tiktok.com/@lhyannapark,tau parfum Morris dari adik owner nya langsung dan itu wangi nya enak banget sih,Positif,Positif,29/11/2023
,xxsih20_,https://www.tiktok.com/@xxsih20_,ini morris varian apa,Netral,Netral,29/11/2023
,lelahermayati,https://www.tiktok.com/@lelahermayati,aku juga pakai morris kak emang wangi banget,Positif,Positif,29/11/2023
,tennyagustine,https://www.tiktok.com/@tennyagustine,Morris keluarkan lagi dong parfum yang tutup nya bunga warna pink dan ungu sumpah itu enak banget tahan lama ,Positif,Positif,29/11/2023
,reiivn.9,https://www.tiktok.com/@reiivn.9,aquatic juga maskulin tapi Zoe reaction Woody boleh juga,Positif,Positif,29/11/2023
,fabiolaseriang,https://www.tiktok.com/@fabiolaseriang,mau parfum nya kak kata temen aku enak banget aroma nya,Positif,Positif,29/11/2023
,arifulmakarif172,https://www.tiktok.com/@arifulmakarif172,mantap nih,Positif,Positif,29/11/2023
,sulaimanprathama,https://www.tiktok.com/@sulaimanprathama,Morris emang parfum lokal terenak dan termurah,Positif,Positif,29/11/2023
,mesajaaah,https://www.tiktok.com/@mesajaaah,ada yang wangi vanila tidak? ,Netral,Netral,28/11/2023
,mbakmila5793,https://www.tiktok.com/@mbakmila5793,beli di mana kak ...parfum morris nya,Netral,Netral,28/11/2023
,erlinisimbolon,https://www.tiktok.com/@erlinisimbolon,"beli dimana, aku juga mau beli kata abang aku enak wangi nya",Positif,Positif,28/11/2023
,annelaia2,https://www.tiktok.com/@annelaia2,"aku juga pakai ini, memang asli harum nya itu bikin aku tergila gila",Positif,Positif,28/11/2023
,oppi3907,https://www.tiktok.com/@oppi3907,aku suka banget sama aroma aquatik ,Positif,Positif,28/11/2023
,goganfatubuncoeenso___87,https://www.tiktok.com/@goganfatubuncoeenso___87,"cek harga kak, mau beli lagi parfum aku udah abis ",Positif,Positif,28/11/2023
,linarinding,https://www.tiktok.com/@linarinding,aroma yang aquatik unik banget aku suka sama aroma nya,Positif,Positif,27/11/2023
,priki_tiw,https://www.tiktok.com/@priki_tiw,temen cewek aku make nih parfum wangi nya enak banget,Positif,Positif,27/11/2023
,nam_zely.min,https://www.tiktok.com/@nam_zely.min,Admin nya lama banget bales pertanyaan nya,Negatif,Negatif,27/11/2023
,muhammad.fahri.firmansah,https://www.tiktok.com/@muhammad.fahri.firmansah,ka nana cantik banget cocok jadi host moris sama sama terkenal,Positif,Positif,27/11/2023
,fahriadhiedhie,https://www.tiktok.com/@fahriadhiedhie,aku suka sama aroma yang METROPOLIS lifestyle edition,Positif,Positif,27/11/2023
,chapunkarham,https://www.tiktok.com/@chapunkarham,boong emang apa pngaruh nya sama cewek ,Negatif,Negatif,27/11/2023
,naiyla_00,https://www.tiktok.com/@naiyla_00,varian yang batman bagus dan unik banget botol nya,Positif,Positif,27/11/2023
,avita_217,https://www.tiktok.com/@avita_217,Morris ini kalau lewat pasti wangi banget,Positif,Positif,26/11/2023
,riazybo,https://www.tiktok.com/@riazybo,boong tahan nya Cuma sepuluh menit,Negatif,Negatif,26/11/2023
,anisyasmsuri,https://www.tiktok.com/@anisyasmsuri,aku sering banget beli produk morris sangat-sangat wangi,Positif,Positif,26/11/2023
,vera_aja_ok,https://www.tiktok.com/@vera_aja_ok,parfum morris mah favorit aku banget soal nya wangi tahan lama,Positif,Positif,26/11/2023
,cucubndcorla,https://www.tiktok.com/@cucubndcorla,ganti host nya lah siku aja ga tau ,Negatif,Negatif,26/11/2023
,user4523121053976,https://www.tiktok.com/@user4523121053976,host macem apa ini masih malu-malu nyampein produk nya,Negatif,Negatif,26/11/2023
,musthofa3147,https://www.tiktok.com/@musthofa3147,botol nya jelek dan tutup nya gampang lepas,Negatif,Negatif,26/11/2023
,boynumaru21,https://www.tiktok.com/@boynumaru21,parfum murahan ga ada box nya pas beli,Negatif,Negatif,26/11/2023
,dewoasmoroag,https://www.tiktok.com/@dewoasmoroag,kecewa banget harga tiga puluh ribu tapi ga dapat box,Negatif,Negatif,26/11/2023
,sriidevii19,https://www.tiktok.com/@sriidevii19,sama kaya punya aku wanggi nya enak banget sering aku pakai buat olahraga,Positif,Positif,25/11/2023
,nrhsanh_25,https://www.tiktok.com/@nrhsanh_25,aku juga pake moris dari aku kuliah sampai kerja emang keren wangi nya ga pernah berubah,Positif,Positif,25/11/2023
,ageungnoor09_,https://www.tiktok.com/@ageungnoor09_,Morris Disney yang ada glite nya wangi banget ,Positif,Positif,25/11/2023
,user34978877251365,https://www.tiktok.com/@user34978877251365,please gliter nya ganggu banget,Negatif,Negatif,25/11/2023
,almirahilmi1,https://www.tiktok.com/@almirahilmi1,punya aku pencetan nya rusak tidak mau keluar kalau di semprot,Negatif,Negatif,25/11/2023
,mbakgemoyy822,https://www.tiktok.com/@mbakgemoyy822,semua parfum moris enak banget aku udah nyobain semua parfum nya beli di indomaret,Positif,Positif,25/11/2023
,hmmmmmmlahh,https://www.tiktok.com/@hmmmmmmlahh,Tidak wangi itu boong sudah aku coba pakai,Negatif,Negatif,25/11/2023
,leen_tung,https://www.tiktok.com/@leen_tung,aku sudah habis banyak botol morris hijab emang ga ada dua nya nih parfum lokal,Positif,Positif,24/11/2023
,dianfitrotul_3,https://www.tiktok.com/@dianfitrotul_3,"beneran awet aroma nya, harga nya juga murah",Positif,Positif,24/11/2023
,unknown.brc1,https://www.tiktok.com/@unknown.brc1,MORRIS EMANG SEWANGI ITU DARI DULU TIDAK PERNAH GANTI PARFUM SECINTA ITU SAMA MORRIS ,Positif,Positif,24/11/2023
,haya2716,https://www.tiktok.com/@haya2716,aku juga pakai morris wangi nya suka,Positif,Positif,24/11/2023
,trianaizy33,https://www.tiktok.com/@trianaizy33,"Aku suka yang hijab warna ungu, wangi nya lembut",Positif,Positif,24/11/2023
,krtanishbing,https://www.tiktok.com/@krtanishbing,"harus mencoba parfum nya deh harus banget, suka",Positif,Positif,24/11/2023
,dumpppictt,https://www.tiktok.com/@dumpppictt,kakak aku udah langganan parfum morris dari sekolah emang nikmat banget wangi nya,Positif,Positif,24/11/2023
,safina2541,https://www.tiktok.com/@safina2541,warna rambut host nya coklat apa tuh bagus,Positif,Positif,24/11/2023
,padlan26042004,https://www.tiktok.com/@padlan26042004,wangi nya cepat hilang,Negatif,Negatif,24/11/2023
,mars_yts,https://www.tiktok.com/@mars_yts,gembel banget nih parfum ga ada box nya,Negatif,Negatif,24/11/2023
,wilonacamelia,https://www.tiktok.com/@wilonacamelia,itu yang di pakai varian apa ka?,Netral,Netral,23/11/2023
,_larassg,https://www.tiktok.com/@_larassg,host kocak ngejelasin nya aneh banget,Negatif,Negatif,23/11/2023
,chitra.widodo,https://www.tiktok.com/@chitra.widodo,mama aku suka banget sama varian metropolis kata nya lembut wangi nya,Positif,Positif,23/11/2023
,iqbalozora6,https://www.tiktok.com/@iqbalozora6,bohong aku pakai parfum itu tapi tidak ada juga cewek yang dekatin,Negatif,Negatif,23/11/2023
,priciliawarae,https://www.tiktok.com/@priciliawarae,Morris yang wangi vanila enak banget aku suka,Positif,Positif,22/11/2023
,ndktau302,https://www.tiktok.com/@ndktau302,udah pakai parfum morris dari tahun 2021 sampai sekarang ketagihan banget wangi nya,Positif,Positif,21/11/2023
,user1813561426562,https://www.tiktok.com/@user1813561426562,sumpah Morris wangi banget ka tidak mau ganti ke merek parfum lain,Positif,Positif,21/11/2023
,shoppingwithnayla,https://www.tiktok.com/@shoppingwithnayla,yang paling harum varian apa kak,Netral,Netral,21/11/2023
,dirgapratama3690,https://www.tiktok.com/@dirgapratama3690,udah pakai hasil nya emang bener wangi banget dan lembut semua ,Positif,Positif,21/11/2023
,andy_snowwww,https://www.tiktok.com/@andy_snowwww,haha belum juga 5 menit udah hilang lagi harum nya,Negatif,Negatif,21/11/2023
,rojazgevano,https://www.tiktok.com/@rojazgevano,mau beli kata pacar aku dia nyium bau temen nya make morris enak banget,Positif,Positif,21/11/2023
,milaniamelia,https://www.tiktok.com/@milaniamelia,"Morris enak banget bau nya, sekali nyoba langsung jatuh cinta",Positif,Positif,20/11/2023
,coffeemix29,https://www.tiktok.com/@coffeemix29,masih pakai morris ampai sekarang,Positif,Positif,20/11/2023
,yatisujono21,https://www.tiktok.com/@yatisujono21,iya wangi banget cool,Positif,Positif,20/11/2023
,andy_irawann,https://www.tiktok.com/@andy_irawann,tahan lama tidak kak parfum nya,Netral,Netral,20/11/2023
,kuntulkurap123,https://www.tiktok.com/@kuntulkurap123,beneran wangi apa cuma kebutuhan endorse an aja,Negatif,Negatif,20/11/2023
,ahmad.daujeng,https://www.tiktok.com/@ahmad.daujeng,mbak mbak alfamart sampe senyum senyum sendiri saking enak nya nih parfum ,Positif,Positif,19/11/2023
,matirasa09_,https://www.tiktok.com/@matirasa09_,MORRIS WANGI NYA aku suka,Positif,Positif,19/11/2023
,selvianilh,https://www.tiktok.com/@selvianilh,"aku juga jual semua macam-macam morris kak, dan termasuk moris woody, oud dan yang lain nya kak, pokok nya wangi nya fresh banget",Positif,Positif,19/11/2023
,opal27777,https://www.tiktok.com/@opal27777,tapi tidak tahan lama,Negatif,Negatif,14/11/2023
,infoayangdong,https://www.tiktok.com/@infoayangdong,"aku juga pakai morris body wash, segar bikin kulit badan halus plus wangi",Positif,Positif,14/11/2023
,richardmarcell07,https://www.tiktok.com/@richardmarcell07,ga enak wangi ketiak,Negatif,Negatif,14/11/2023
,agungkamajaya36,https://www.tiktok.com/@agungkamajaya36,follower beli bohong semua iklan nya ,Negatif,Negatif,13/11/2023
,rein5884734488302,https://www.tiktok.com/@rein5884734488302,Parfum baju itu atau parfum badan,Netral,Netral,13/11/2023
,idabagusharisnugr,https://www.tiktok.com/@idabagusharisnugr,wangi duit aku suka banget,Positif,Positif,12/11/2023
,ydp67,https://www.tiktok.com/@ydp67,kayak parfum aku nih wangi nya enak banget,Positif,Positif,12/11/2023
,ariirawan177,https://www.tiktok.com/@ariirawan177,haha Moris ini ada di zona aku emang wangi banget sih ini Morris,Positif,Positif,12/11/2023
,tahrismokoginta16,https://www.tiktok.com/@tahrismokoginta16,mahal banget pengen beli tapi uang nya belum cukup,Negatif,Negatif,12/11/2023
,forsa97,https://www.tiktok.com/@forsa97,aku suka banget sama bau nya aku pake itu parfum setiap sholat,Positif,Positif,12/11/2023
,mralan608,https://www.tiktok.com/@mralan608,enak banget bau nya cocok buat jalan jalan sore,Positif,Positif,12/11/2023
,ariaultras,https://www.tiktok.com/@ariaultras,aku suka sama bau nya yang batman lembut dan sejuk,Positif,Positif,12/11/2023
,userandifa_bilqis,https://www.tiktok.com/@userandifa_bilqis,mau beli tapi mahal banget biaya pengiriman nya,Negatif,Negatif,11/11/2023
,kanghalu_1002,https://www.tiktok.com/@kanghalu_1002,enak banget bau yang aquatik ka,Positif,Positif,11/11/2023
,ilovenisah,https://www.tiktok.com/@ilovenisah,aku sudah beli enak banget wangi nya,Positif,Positif,11/11/2023
,gedesujaya,https://www.tiktok.com/@gedesujaya,auto langsung beli,Positif,Positif,11/11/2023
,notimportan129,https://www.tiktok.com/@notimportan129,parfum kesukaan saya ini,Positif,Positif,11/11/2023
,rendiaskar,https://www.tiktok.com/@rendiaskar,cek harga ka,Netral,Netral,11/11/2023
,nabilxyz212,https://www.tiktok.com/@nabilxyz212,lah parfum aku setiap hari itu,Positif,Positif,10/11/2023
,randikaahmadyanwar,https://www.tiktok.com/@randikaahmadyanwar,cantik amat,Positif,Positif,10/11/2023
,aldi.garut.sunda,https://www.tiktok.com/@aldi.garut.sunda,kalau cowok nya jelek mana mau begitu emang cewe ngomong doang,Negatif,Negatif,10/11/2023
,sengkisengkiagust8,https://www.tiktok.com/@sengkisengkiagust8,berapa harga itu,Netral,Netral,09/11/2023
,itscapricorniya,https://www.tiktok.com/@itscapricorniya,buat cewek ada ga ?,Netral,Netral,09/11/2023
,ayrawinner,https://www.tiktok.com/@ayrawinner,"penasaran aku ka cantik, sama parfum Morris nya, botol nya bagus banget kelihatan tebel kaca nya",Positif,Positif,09/11/2023
,holiltuah1,https://www.tiktok.com/@holiltuah1,tetep kalah sama aroma uang ka,Negatif,Negatif,08/11/2023
,ajikgede04,https://www.tiktok.com/@ajikgede04,bohong aroma yang paling wangi adalah aroma uang gajian lah,Negatif,Negatif,08/11/2023
